Epoch,Layer,Depth,Effective Rank,Smooth Rank (λ=0.1),Smooth Rank (λ=1.0),Smooth Rank (λ=10.0),Train Loss,Test Loss
15,2,4,nan,52.640953063964844,35.22164535522461,16.29625129699707,11.521950352138942,16.407992894490558
15,3,4,nan,39.455101013183594,21.164379119873047,9.08006477355957,11.521950352138942,16.407992894490558
16,0,4,10.233936309814453,22.282596588134766,20.576919555664062,17.426746368408203,10.316774544751203,14.756799387613933
16,1,4,9.045351028442383,61.66004180908203,49.632835388183594,26.671939849853516,10.316774544751203,14.756799387613933
16,2,4,nan,52.381187438964844,35.081520080566406,16.29679298400879,10.316774544751203,14.756799387613933
16,3,4,nan,39.29877471923828,21.18738555908203,9.122980117797852,10.316774544751203,14.756799387613933
17,0,4,10.233942031860352,22.283294677734375,20.577110290527344,17.426769256591797,10.150081987734195,15.901182139078776
17,1,4,9.057666778564453,61.65713119506836,49.61288070678711,26.6533145904541,10.150081987734195,15.901182139078776
17,2,4,nan,52.12782669067383,35.00428771972656,16.28089714050293,10.150081987734195,15.901182139078776
17,3,4,nan,39.00688552856445,21.077590942382812,9.11264705657959,10.150081987734195,15.901182139078776
